SKU*,Description
U-VZ-SCPD-04,"<h2>Item Condition:used</h2>  <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC7803.jpg"" style=""width: 972px; height: 600px;"" /></p>  <ul> 	<li><strong>EASY TO CLIP IN &amp; OUT</strong>: With the platform at both sides, it is much easier to clip in than normal Shimano SPD pedals. The pedal is double sided, so you do not need to figure out the right side. The pedals are super-easy to clip out from too.</li> 	<li><strong>BETTER GRIP</strong>: Unlike those normal SPD pedals, Venzon pedals give your feet more solid support. The large Dia-cast aluminium with CNC finish platform (Size: 107 x 98 mm = 4.21 x 3.85 inch) also maximizes grip.</li> 	<li><strong>SMOOTH BEARINGS</strong>: LSL bushing &amp; sealed. Very smooth and reliable. Axle: 9/16"" CNC machined Cr-Mo. Double sided clipless, Cleat: Compatible with Shimano SPD type cleats SC-C01F (single release) included.</li> 	<li><strong>ADJUSTABLE TENSION</strong>: Tension adjustable (80~140kgf.cm) .The cleats tension could be adjusted by the screw on the side of the pedal. It allows riders to achieve perfect clip in and out feelings. Weight: 604g = 1.33lbs /pair(without cleats).</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide a 2 years warranty !&nbsp; Made in Taiwan.</li> </ul>  <p style=""text-align: center;"">&nbsp;</p>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/bQRfvgFAONM"" width=""560""></iframe></p> "
U-VZ-SCPD-05,"<h2>Item Condition:used</h2>  <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC7822-Edit.jpg"" style=""width: 973px; height: 600px;"" /></p>  <ul> 	<li><strong>EASY TO CLIP IN &amp; OUT</strong>: With the platform at both sides, it is much easier to clip in than normal Shimano SPD pedals. The pedal is double sided, so you do not need to figure out the right side. The pedals are super-easy to clip out from too.</li> 	<li><strong>BETTER GRIP</strong>: Unlike those normal SPD pedals, Venzon pedals give your feet more solid support. The large CNC 6061 aluminum platform (Size: 107 x 101 mm = 4.21 x 3.97 inch) also maximizes grip. With four quality replaceable pins each side, these pedals have incredible grip.</li> 	<li><strong>SMOOTH BEARINGS</strong>: LSL bushing &amp; sealed. Very smooth and reliable. Axle: 9/16"" CNC machined Cr-Mo. Double sided clipless, Cleat: Compatible with Shimano SPD type cleats SC-C01F (single release) included.</li> 	<li><strong>ADJUSTABLE TENSION</strong>: Tension adjustable (80~140kgf.cm) .The cleats tension could be adjusted by the screw on the side of the pedal. It allows riders to achieve perfect clip in and out feelings. Weight: 563g = 1.24lbs /pair(without cleats).</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide a 2 years warranty !&nbsp; Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/rkfiIn6PFCQ"" width=""560""></iframe></p> "
U-VZ-SCPD-09,"<h2>Item condition:used</h2>  <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC7744-Edit.jpg"" style=""width: 972px; height: 600px;"" /></p>  <ul> 	<li><strong>QUALITY BODY</strong>: Very light engineering thermoplastic body. Very strong and looks beautiful on bikes. Size: 100 x 95 mm = 3.9 x 3.7 inch.</li> 	<li><strong>DUAL FUNCTION</strong>: Riding with clipless shoes: More efficient energy transfer to pedals or ride with casual shoes with family members. LARGE PLATFORM: The aluminum body is 100 x 95 mm relatively large. It ensures more riding stability.</li> 	<li><strong>SMOOTH BEARINGS</strong>: LSL bushing &amp; sealed. Very smooth and reliable. Axle: 9/16"" CNC machined Cr-Mo. Double sided clipless, Cleat: Compatible with Shimano SPD type cleats SC-C01F (single release) included.</li> 	<li><strong>LIGHT</strong>: Weight: 350g = 0.7lbs/pair (without cleats). It's not adding a lot of weight to your bike. Ensures easy and comfortable riding.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/1Q9_DIomnio"" width=""560""></iframe></p> "
U-VZ-SCPD-11,"<h2>Item Condition:used</h2>  <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC7648.jpg"" style=""width: 973px; height: 600px;"" /></p>  <ul> 	<li><strong>QUALITY BODY</strong>: CNC machined 6061 aluminum alloy body. Very strong and looks beautiful on bikes. Size: 85 x 80 mm = 3.3 x 3.1 inch.</li> 	<li><strong>DUAL FUNCTION</strong>: Riding with clipless shoes: More efficient energy transfer to pedals or ride with casual shoes with family members. LARGE PLATFORM: The aluminum body is 85 x 80mm relatively large. It ensures more riding stability.</li> 	<li><strong>SMOOTH BEARINGS:</strong> LSL bushing &amp; sealed. Very smooth and reliable. Axle: 9/16"" CNC machined Cr-Mo. Double sided clipless, Cleat: Compatible with Shimano SPD type cleats SC-C01F (single release) included.</li> 	<li><strong>GREAT GRIP</strong>: With quality replaceable pins, these pedals have incredible grip. LIGHT: The pedals are very light compared with other similar modes available. Weight: 320g = 0.7lbs/pair (without cleats). PD-A530 pedal weight: 383g.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/t3HiQ4nuR3s"" width=""560""></iframe></p> "
U-VZ-SCPD-12,"<h2>Item Condition:used</h2>  <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC7041.jpg"" style=""width: 970px; height: 599px;"" /></p>  <ul class=""a-unordered-list a-vertical a-spacing-none""> 	<li><strong>ANTI-SKID KRATON</strong> - To increase the friction,to prevent foot slippage,to ensure that the rider safety...Fits For: mountain bike, road bike, BMX bike, Fixie bike.MTB bike, Cycling bicycle.</li> 	<li><strong>LARGE PLATFORM</strong> - This platform pedal supports the foot more evenly when riding, provides a more comfortable riding experience for you.</li> 	<li><strong>DURABLE &amp; LIGHTWEIGHT</strong> - This platform pedals weights only 508g pair,90mm x 90mm large platform pedals, Die-Cast aluminum bodies with kraton inlaid Superior grip low profile platform, Great for fit for mountain bike road bike BMX exercise bike fixie bike folding bike with 9/16"" Axle.</li> 	<li><strong>BEARING &amp; AXLE - AXLE </strong>: CNC-machined Cr-Mo 9/16"" Axle; Smooth-riding , Bearing: LSL bushing &amp; sealed.</li> 	<li><strong>ORDER NOW, WORRY FREE! </strong>We're so confident about our product quality that we can provide 2 year warranty ! Made in Taiwan. Package: 1 Pair of 2 pedals.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/i2rNSnmCO4s"" width=""560""></iframe></p> "
U-VZ-SCPD-14,"<p>&nbsp;</p>  <h2>Item Condition:used</h2>  <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC7891.jpg"" style=""width: 972px; height: 600px;"" /></p>  <p>&nbsp;</p>  <ul> 	<li><strong>HEAVY DUTY PLATFORM</strong>: Thickness 15mm. Platform size 98 x 98mm, weight only 416g per pair. Great for Downhill, all mountain , BMX, cycecross, trial &amp; cross country.</li> 	<li><strong>LOW PROFILE:</strong> CNC 6061 aluminum bodies superior grip low profile platform. Features a minimal profile of only 15mm thin. Maximizes the ground clearance.</li> 	<li><strong>OVERSIZED BEARING &amp; AXLE</strong> - Extra heavy duty with oversized bearings. Oversized Axle : CNC-machined Cr-Mo 9/16"". Oversized bearing: LSL bushing &amp; sealed. Very smooth quality bearings, absolutely no noise!</li> 	<li><strong>ANTI-SKID NAIL</strong> - To increase the friction,to prevent foot slippage,to ensure that the rider safety.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty ! Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/wU81Rhqu8vU"" width=""560""></iframe></p> "
U-VZ-SCPD-15,"<h2>Item Condition:used</h2>  <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC7266.jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>EXTRA LARGE PLATFORM</strong>: Thickness 12mm. Platform size 100 x 100mm, weight only 370g per pair. Great for all mountain , BMX, cycecross, trial &amp; cross country. Recommended for shoe size: USA men: 10-15, EU: 43-50.</li> 	<li><strong>LOW PROFILE</strong>: CNC 6061 aluminum bodies superior grip low profile platform. Features a minimal profile of only 12mm thin. Maximizes the ground clearance.</li> 	<li><strong>BEARING &amp; AXLE - AXLE</strong> : CNC-machined Cr-Mo 9/16"". Axle bearing: LSL bushing &amp; sealed. Very smooth quality bearings, absolutely no noise!</li> 	<li><strong>ANTI-SKID NAIL</strong> - To increase the friction,to prevent foot slippage,to ensure that the rider safety.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty ! Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/ke4jiQJBMrA"" width=""560""></iframe></p> "
U-VZ-SCPD-16,"<h2>Item Condition:used</h2>  <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC7455.jpg"" style=""width: 973px; height: 600px;"" /></p>  <ul> 	<li><strong>BEARING &amp; AXLE - AXLE</strong> : CNC-machined Cr-Mo 9/16"". Axle bearing: LSL bushing &amp; sealed. Very smooth quality bearings, absolutely no noise!</li> 	<li><strong>DURABLE &amp; LIGHTWEIGHT</strong> - This platform pedals weight only 340g pair, 102mm x 102mm large platform pedals, CNC 6061 aluminum bodies superior grip low profile platform.</li> 	<li><strong>ANTI-SKID NAIL</strong> - To increase the friction,to prevent foot slippage,to ensure that the rider safety. Great for mountain bike road bike ,BMX ,exercise, fixie, and folding bikes with 9/16"" Axle.</li> 	<li><strong>LARGE PLATFORM</strong> - This platform pedal supports the foot more evenly when riding, provides a more comfortable riding experience for you.</li> 	<li><strong>Package: </strong>1 Pair of 2 pedals, 4 x Reflectors</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty! Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/38lrPa5whdg"" width=""560""></iframe></p> "
U-VZ-SCPD-18,"<h2>Item Condition:used</h2>  <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC7229.jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>BEARING &amp; AXLE</strong> - AXLE : CNC-machined Cr-Mo 9/16"". Axle bearing: LSL bushing &amp; sealed. Very smooth quality bearings, absolutely no noise!</li> 	<li><strong>DURABLE &amp; LIGHTWEIGHT </strong>- This platform pedals weight only 396g pair, 102mm x 94mm large platform pedals, CNC 6061 aluminum bodies superior grip low profile platform.</li> 	<li><strong>ANTI-SKID NAIL </strong>- To increase the friction,to prevent foot slippage,to ensure that the rider safety. Great for mountain bike road bike ,BMX ,exercise, fixie, and folding bikes with 9/16"" Axle.</li> 	<li><strong>LARGE PLATFORM</strong> - This platform pedal supports the foot more evenly when riding, provides a more comfortable riding experience for you.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty! Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/VgEYcfb2d-E"" width=""560""></iframe></p> "
U-VZ-SCPD-20,"<h2>Item Condition:used</h2>  <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC7164.jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>BODY</strong>: Dia-cast 6061 aluminum with grip sand paper. Size: 90x 78 mm = 3.5 x 3 inch. Weight: 329g = 0.7lbs/pair. Compatible with 9/16"" thread size crankset only.</li> 	<li><strong>BEARING &amp; AXLE </strong>- AXLE : CNC-machined Cr-Mo 9/16"" Axle; Smooth-riding , Bearing: LSL bushing &amp; sealed. Great for MTB, e-bike, city, trekking and urban bikes.</li> 	<li><strong>SAND PAPER</strong>: Increase the friction,to prevent foot slippage,to ensure that the rider safety when wet.</li> 	<li><strong>REFLECTORS</strong>: Yellow reflectors are included and built nicely in the pedals. They ensure much safer riding during night.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 1 year warranty ! Made in Taiwan.</li> 	<li><strong>Package</strong>: 1 Pair of 2 pedals.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/e2xG0p80f00"" width=""560""></iframe></p> "
VZ-AD-OL,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970(36).jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>COMPATIBILITY</strong>: The adapters are used to convert triangle type spin or road bike shoes (such as Peloton shoes) to be compatible with Shimano SPD MTB type cleats.</li> 	<li><strong>EASY TO USE</strong>: Just screw the adapters on the bottom of the shoes, then install your original SPD cleats on the adapters. You are ready to use the shoes on SPD type spin bike pedals. Please watch the video in the listing.</li> 	<li><strong>QUALITY</strong>: The adapters are made of high quality die cast 6061 aluminum. They are also heat treated for the hardness. Ready for tough spin class riding.</li> 	<li><strong>PACKAGE</strong>: Comes with 2 adapters with 6 bolts (same size as SPD cleats bolts). SPD cleats NOT included.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/O7d0T-FTJxk?rel=0"" width=""560""></iframe></p> "
VZ-AD-SPD,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970(37).jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>COMPATIBILITY</strong>: The adapters are used to convert triangle type spin or road bike shoes (such as Peloton shoes) to be compatible with Shimano SPD MTB type cleats.</li> 	<li><strong>EASY TO USE</strong>: Just screw the adapters on the bottom of the shoes, then install your original SPD cleats on the adapters. You are ready to use the shoes on SPD type spin bike pedals. Please watch the video in the listing.</li> 	<li><strong>QUALITY</strong>: The adapters are made of high quality die cast 6061 aluminum. They are also heat treated for the hardness. Ready for tough spin class riding.</li> 	<li><strong>PACKAGE</strong>: Comes with 2 adapters with 6 bolts (same size as SPD cleats bolts). Compatible with Shimano SPD single release cleats are included.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/GRdYcNNJ_6U?rel=0"" width=""560""></iframe></p> "
VZ-B11-021,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970(35).jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>COMPATIBILITY</strong>: Seat tube size: 27.2 x 350mm. Great to make your hard-tail e bike, road bike, fat bike or mountain bike riding as full suspension bike and save your back.</li> 	<li><strong>QUALITY</strong>: Material: AL7505-T6 3D cold forged body, very strong and very light. Weight: 585g = 1.28 lbs.</li> 	<li><strong>TRAVEL</strong>: Seatpost Travel: 28mm Vertical + 24mm Horizontal. The travel is enough for long riding.</li> 	<li><strong>RIDER WEIGHT LIMIT</strong>: Rider weight recommendation:70-85 Kg or 154-188 lbs.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/Q8Wm-thW01A"" width=""560""></iframe></p> "
VZ-D04C-001,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/_DSC5310.jpg"" style=""width: 970px; height: 546px;"" /></p>  <ul> 	<li><strong>COMPATIBILITY &amp; SIMPLE TO USE</strong>: Fit seat post size: Options: 28.6mm,31.8mm or 34.9mm. Compatible with Shimano, Sram, FSA, Campagnolo type braze on front derailleur. Simply clamp the adapter on the seat tube.</li> 	<li><strong>STRONG</strong>: The adapter is made of high quality aluminum alloy AL6061 T6. It is also hardened by heat treatment.</li> 	<li><strong>LIGHT</strong>: The bike adapter weights only 40g or 1.4 oz. I will not add a lot weight to your light road bikes or MTB.</li> 	<li><strong>ADJUSTABLE</strong>: The height could be adjusted to ensure perfect gear changing position. Please note: The side adjustment is done by the bolts on the front derailleur itself.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p>&nbsp;</p>  <p>&nbsp;</p>  <p>&nbsp;</p> "
VZ-D04C-001S,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/VZ-D04C-001S-EBC-970.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><strong>COMPATIBILITY &amp; SIMPLE TO USE</strong>: Fit seat post size: Options: 28.6mm,31.8mm or 34.9mm. Compatible with Shimano, Sram, FSA, Campagnolo type braze on front derailleur. Simply clamp the adapter on the seat tube.</li> 	<li><strong>STRONG</strong>: The adapter is made of high quality aluminum alloy AL6061 T6. It is also hardened by heat treatment.</li> 	<li><strong>LIGHT</strong>: The bike adapter weights only 40g or 1.4 oz. I will not add a lot weight to your light road bikes or MTB.</li> 	<li><strong>ADJUSTABLE</strong>: The height could be adjusted to ensure perfect gear changing position. Please note: The side adjustment is done by the bolts on the front derailleur itself.</li> 	<li><strong>ORDER NOW, WORRY FREE!</strong> We're so confident about our product quality that we can provide 2-year warranty!&nbsp; Made in Taiwan.</li> </ul> "
VZ-E02XR-007-BLK,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/a8f1f786-f13b-4838-8faf-dd908ee3892d___CR0,0,970,600_PT0_SX970_V1___.jpg"" style=""width: 970px;"" /></p>  <p><span class=""a-list-item""><strong><span class=""a-text-bold"">QUALITY</span>:</strong> Strong material: Die cast aluminum body, CNC Cr-Mo 9/16' Axle; Smooth riding: sealed bearings; Light: 580g per pair. SPD compatible cleats are included. </span></p>  <p><span class=""a-list-item""><strong><span class=""a-text-bold"">FULLY COMPATIBLE</span>:</strong> Compatible with all Shimano SPD MTB pedals system. Means you can use Shimano SPD cleats on these pedals or use these cleats on Shimano SPD pedals.</span></p>  <p><strong>DUAL FUNCTION</strong>: Riding with clipless shoes: More efficient energy transfer to pedals or ride with casual shoes with family members.</p>  <p><strong>LARGE PLATFORM</strong>: The aluminum body is 100 x 90mm relatively large. It ensures more riding stability.</p>  <p><strong>ADJUSTABLE TENSION</strong>: The cleats tension could be adjustable by the screw on the side of the pedal. It allows riders to achieve perfect clip in and out feelings.</p>  <p><strong>WARRANTY:</strong> Package included 1 pair pedals, 1 pair SPD cleats, Warranty: One year. Made in Taiwan</p>  <p style=""text-align: center;""><iframe allow=""autoplay; encrypted-media"" allowfullscreen="" frameborder=""0"" height=""350"" src=""https://www.youtube.com/embed/ysRtQ8MrUsk"" width=""550""></iframe></p> "
VZ-E02XR-007-BLKA,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/a8f1f786-f13b-4838-8faf-dd908ee3892d___CR0,0,970,600_PT0_SX970_V1___.jpg"" style=""width: 970px;"" /></p>  <p><span class=""a-list-item""><strong><span class=""a-text-bold"">QUALITY</span>:</strong> Strong material: Die cast aluminum body, CNC Cr-Mo 9/16' Axle; Smooth riding: sealed bearings; Light: 580g per pair. SPD compatible cleats are included. </span></p>  <p><span class=""a-list-item""><strong><span class=""a-text-bold"">FULLY COMPATIBLE</span>:</strong> Compatible with all Shimano SPD MTB pedals system. Means you can use Shimano SPD cleats on these pedals or use these cleats on Shimano SPD pedals.</span></p>  <p><strong>DUAL FUNCTION</strong>: Riding with clipless shoes: More efficient energy transfer to pedals or ride with casual shoes with family members.</p>  <p><strong>LARGE PLATFORM</strong>: The aluminum body is 100 x 90mm relatively large. It ensures more riding stability.</p>  <p><strong>ADJUSTABLE TENSION</strong>: The cleats tension could be adjustable by the screw on the side of the pedal. It allows riders to achieve perfect clip in and out feelings.</p>  <p><strong>WARRANTY:</strong> Package included 1 pair pedals, 1 pair SPD cleats, Warranty: One year. Made in Taiwan</p>  <p style=""text-align: center;""><iframe allow=""autoplay; encrypted-media"" allowfullscreen="" frameborder=""0"" height=""350"" src=""https://www.youtube.com/embed/ysRtQ8MrUsk"" width=""550""></iframe></p> "
VZ-E02XR-009,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/970(14).jpg"" style=""width: 970px;"" /></p>  <p>&nbsp;</p>  <ul> 	<li><strong>GREAT FOR SPIN BIKES</strong>: The pedals are specially designed for spin bikes. Strong material: dia-cast aluminum body, extra heavy duty oversized CNC Cr-Mo 9/16' Axle; Smooth riding: sealed bearings. Friendly reminder : Please do NOT use other pedals such as road or MTB pedals on spin bikes.</li> 	<li><strong>DUAL FUNCTION: </strong>Riding with Look Delta road cleats style shoes or Shimano SPD MTB type shoes. This is good option to replace Peloton pedals which is compatible with Look Delta only. Compatible with Look Delta (1 set 9 degree) &amp; Shimano SPD (1 set) cleats are included in the package.</li> 	<li><strong>FULLY COMPATIBLE</strong>: Compatible with all Shimano SPD MTB &amp; Look Delta pedals system. Means you can use Shimano SPD &amp; Look Delta cleats on these pedals or use these cleats on Shimano SPD &amp; Look Delta pedals.</li> 	<li><strong>ADJUSTABLE TENSION</strong>: The cleats tension could be adjusted by the screw on the side of the pedal. It allows riders to achieve perfect clip in and out feelings. Weight: 578g=1.27lbs /pr. Size: 87 x 90 mm.</li> 	<li><strong>PACKAGE</strong>: Package Includes: 1 pair pedals, 1 pair ARC1 cleats, 1 pair C01F Shimano SPD compatible cleats. Warranty: 2 year. Made in Taiwan.</li> </ul>  <p style=""text-align: center;""><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/FJUIqnRCmy4"" width=""560""></iframe></p> "
VZ-F03-009,"<p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/VZ-F03-009-P.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><strong>CRYSTAL CLEAR &amp; ANTI-GLARE</strong>: Made of fine finish A grade auto glass. You will have crystal clear rear viewing image. This ensures a safer riding. Lens anti-glare Blue:75%&nbsp; with anti-reflective coating, eliminates glare in normal environments. Mirror Dia: 65mm.</li> 	<li><strong>FULL ANGLE ADJUSTMENT – 360°</strong> mirror head rotating plus 45° joint swinging allows full adjustment to the correct angle of the rear view. The stainless steel screws allow quickly locking the mirror at the right position firmly.</li> 	<li><strong>COMPATIBLE</strong>: Any bike's handlebar inside diameter: Fits inside handlebar within Min 16mm ~&nbsp; max 23mm, great for mountain and road bikes. Weight: 87g = 0.192lbs.</li> 	<li><strong>SOLID &amp; LONG LASTING</strong> –&nbsp; Base Material: Eco-Friendly High Impact Nylon with Fiber. Very solid construction ensures this mirror to last a long time.&nbsp; The mirror won’t shake , crack or break even during downhill bike riding.</li> 	<li><strong>ORDER NOW, WORRY FREE! </strong>We're so confident about our product quality that we can provide 2-year warranty!&nbsp; Made in Taiwan.</li> </ul>  <p><span _fck_bookmark=""1"" style=""display: none;"">&nbsp;</span></p>  <p style=""text-align: center;""><iframe allow=""autoplay; encrypted-media"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/X2IpHLsYzPw?rel=0"" width=""560""></iframe></p> "
VZ-F03-009-L,"<div> <p><img alt="" src=""http://www.cyclingdeal.com.au/assets/images/VZ-F03-009-L.jpg"" style=""width: 970px;"" /></p>  <ul> 	<li><strong>CRYSTAL CLEAR &amp; ANTI-GLARE</strong>: Made of fine finish A grade auto glass. You will have crystal clear rear viewing image. This ensures a safer riding. Lens anti-glare Blue:75%&nbsp; with anti-reflective coating, eliminates glare in normal environments. Mirror Dia: 65mm.</li> 	<li><strong>FULL ANGLE ADJUSTMENT – 360°</strong> mirror head rotating plus 45° joint swinging allows full adjustment to the correct angle of the rear view. The stainless steel screws allow quickly locking the mirror at the right position firmly.</li> 	<li><strong>COMPATIBLE</strong>: Any bike's handlebar inside diameter: Fits inside handlebar within Min 16mm ~&nbsp; max 23mm, great for mountain and road bikes. Weight: 87g = 0.192lbs.</li> 	<li><strong>SOLID &amp; LONG LASTING</strong> –&nbsp; Base Material: Eco-Friendly High Impact Nylon with Fiber. Very solid construction ensures this mirror to last a long time.&nbsp; The mirror won’t shake , crack or break even during downhill bike riding.</li> 	<li><strong>ORDER NOW, WORRY FREE! </strong>We're so confident about our product quality that we can provide 2-year warranty!&nbsp; Made in Taiwan.</li> </ul> </div>  <p style=""text-align: center;""><iframe allow=""autoplay; encrypted-media"" allowfullscreen="" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/X2IpHLsYzPw?rel=0"" width=""560""></iframe></p> "
VZ-F03-009-LS,"<div> <div> <p><img alt="" src=""https://www.cyclingdeal.com.au/assets/images/VZ-F03-009-LS.jpg"" style=""width: 970px; height: 600px;"" /></p>  <ul> 	<li><strong>CRYSTAL CLEAR &amp; ANTI-GLARE</strong>: Made of fine finish A grade auto glass. You will have crystal clear rear viewing image. This ensures a safer riding. Lens anti-glare Silver : with 50% anti-reflective coating, eliminates glare in normal environments. Mirror Dia: 65mm.</li> 	<li><strong>FULL ANGLE ADJUSTMENT – 360°</strong> mirror head rotating plus 45° joint swinging allows full adjustment to the correct angle of the rear view. The stainless steel screws allow quickly locking the mirror at the right position firmly.</li> 	<li><strong>COMPATIBLE</strong>: Any bike's handlebar inside diameter: Fits inside handlebar within Min 16mm ~&nbsp; max 23mm, great for mountain and road bikes. Weight: 87g = 0.192lbs.</li> 	<li><strong>SOLID &amp; LONG LASTING</strong> –&nbsp; Base Material: Eco-Friendly High Impact Nylon with Fiber. Very solid construction ensures this mirror to last a long time.&nbsp; The mirror won’t shake , crack or break even during downhill bike riding.</li> 	<li><strong>ORDER NOW, WORRY FREE! </strong>We're so confident about our product quality that we can provide 2-year warranty!&nbsp; Made in Taiwan.</li> </ul> </div> </div> "
